"Ad report (Mar 14, 2014-Oct 19, 2014)",,,,,,,,,,,,,,,,,,,,,,,
Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Campaign,Ad group,Status,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Ad ID,SU,FTE ,FTC,Imp-SU,Clicks-SU,Click-FTC,FTE Conversion%,FTC Conversion%
enabled,Free Email Marketing,"Design, Send & Track Bulk Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email - Free,approved,7,124,5.65%,10.65,74.57,1.5,39148526257,1,#N/A,#N/A,0.81%,14.29%,#N/A,#N/A,#N/A
enabled,Building an Email List?,Easily Create Email Sign Up Forms,for Your Email List or Newsletter.,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - UK,Build Email List - How To,approved,0,0,0.00%,0,0,0,40497433177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free HTML Email Creator,"Free Templates, Easy Drag & Drop",HTML Email Creator. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Creator,approved,15,352,4.26%,3.57,53.48,1.6,39149120617,3,#N/A,#N/A,0.85%,20.00%,#N/A,#N/A,#N/A
enabled,Send eBlasts Free,"Design, Send & Track Bulk Email",Blasts. Easy to Use and It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,eBlast,approved,0,16,0.00%,0,0,2.8,39149443057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Service,Trusted by 600k+ for Bulk Email,Campaigns Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Service - Bulk - Phrase,approved,0,0,0.00%,0,0,0,39301495297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send eNewsletters Free,E-Newsletter Marketing Works. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,eNewsletter Marketing - Free,approved,0,0,0.00%,0,0,0,39301454497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send eBlasts Free,Quickly Create Professional eBlast.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,eBlast,approved,0,12,0.00%,0,0,3.9,39149443177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free eNewsletter Creator,Email Newsletters Get Results. No,Contracts. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,eNewsletter Creator,approved,0,7,0.00%,0,0,1.6,39301677097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,"Design, Send & Track your Mass",HTML Email & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletters - Nonbrand - Exact,approved,6,1466,0.41%,1.97,11.82,3.8,39149257297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send eBlasts Free,Send Bulk eBlasts to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,eBlast,approved,2,94,2.13%,1.06,2.13,3.5,39149442937,1,#N/A,#N/A,1.06%,50.00%,#N/A,#N/A,#N/A
enabled,Sign Up Form Software,Easily Capture Online Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - ROW,Online Sign Up Form Software,approved,0,0,0.00%,0,0,0,40497380737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Newsletter Templates,Create Impressive Email Newsletters,in Minutes. Free Template Designs!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,eNewsletter Template - Free,approved,2,12,16.67%,0.62,1.25,2.5,39301550017,1,#N/A,#N/A,8.33%,50.00%,#N/A,#N/A,#N/A
enabled,Easy eNewsletter Creator,"Design, Send & Track e-Newsletters.",Easy to Use. Get Started Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eNewsletter - HTML - Free,approved,0,3,0.00%,0,0,1.3,39147964777,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Create & Send eBlast Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email,approved,2105,96739,2.18%,6.48,13636.29,1.8,39149358457,435,1,#N/A,0.45%,20.67%,#N/A,0.23%,#N/A
enabled,Try Email Advertising $0,Email Advertising Gets Results. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Advertising Company,approved,0,2,0.00%,0,0,1.5,39149214097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Drag & Drop HTML Email,Create & Send Emails w/ Ease. Looks,Great On Any Device & It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email,approved,1898,108722,1.75%,6.61,12542.2,2.6,39149358577,332,13,#N/A,0.31%,17.49%,#N/A,3.92%,#N/A
enabled,Try Email Marketing Free,Reach New Customers with Email &,Social. It's Free and Easy to Use!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketing - Exact,approved,0,0,0.00%,0,0,0,39148981057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing,Trusted by 600k+ for Reliable Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email,approved,71,8587,0.83%,8,568.15,3.6,39149358697,14,#N/A,#N/A,0.16%,19.72%,#N/A,#N/A,#N/A
enabled,Email Marketing,Reach New Customers with Email &,Social. It's Free and Easy to Use!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email,approved,26,5083,0.51%,8.4,218.41,3.2,39149358817,7,#N/A,#N/A,0.14%,26.92%,#N/A,#N/A,#N/A
enabled,Send Mass Newsletters,Newsletters Made Easy. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletter - Mass - Free,approved,0,0,0.00%,0,0,0,39301597417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Bulk Newsletter Software,"Design, Send & Track Bulk Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletter Software - Bulk,approved,0,0,0.00%,0,0,0,39301631137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Trusted by 600k+ for Engaging Email,Newsletters Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Newsletter - Free,approved,3,147,2.04%,6.89,20.66,3.2,39148137457,1,#N/A,#N/A,0.68%,33.33%,#N/A,#N/A,#N/A
enabled,Drag & Drop Email Builder,Create & Send Emails w/ Ease. Looks,Great On Any Device & It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Builder,approved,97,1777,5.46%,4.82,467.81,1.2,39148305097,12,#N/A,#N/A,0.68%,12.37%,#N/A,#N/A,#N/A
enabled,Free Bulk Email Software,"Free Templates, Easy Drag & Drop",Bulk Email Creator. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Best,approved,1,97,1.03%,7.53,7.53,4.9,39149513017,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Software,"Design, Send and Track Bulk Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Best,approved,2,32,6.25%,4.34,8.68,4.5,39149513137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Create & Send Bulk Emails,Send Bulk Email Blast to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Best,approved,2,140,1.43%,5.22,10.45,5,39149512897,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketing - Nonbrand - Phrase,approved,0,64,0.00%,0,0,5.4,39301710337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Custom Sign Up Forms,Easily Capture Online Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - AU,Sign Up Form - Custom,approved,0,6,0.00%,0,0,2,40497351937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Build Email Newsletter. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,244,33779,0.72%,2.51,612.55,2,39148699297,16,1,#N/A,0.05%,6.56%,#N/A,6.25%,#N/A
enabled,Free Bulk Email Sender,Send Bulk Email w/ Ease. Looks,Great On Any Device & It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Sender - Bulk,approved,21,377,5.57%,11.04,231.74,3.8,39294377737,3,#N/A,#N/A,0.80%,14.29%,#N/A,#N/A,#N/A
enabled,Create & Send Mass Email,"Design, Send and Track Mass Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,top keyword: mass email - exact,approved,50,1256,3.98%,15.35,767.47,2.5,39294418657,12,3,#N/A,0.96%,24.00%,#N/A,25.00%,#N/A
enabled,Free Mass Email Software,"Free Templates, Easy Drag & Drop",Mass Email Creator. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email - Mass - Cheap,approved,0,1,0.00%,0,0,1,39148683457,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Manage eNewsletters Free,"Create, Send & Track eNewsletters.",Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,eNewsletter Management,approved,0,0,0.00%,0,0,0,39301423777,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Delivery Software,Trusted by 600k+ for Reliable Email,Delivery Since 2001. Use Us Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Delivery Software,approved,1,22,4.55%,9.44,9.44,1.7,39148462417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Software,"Design, Send & Track your Bulk",HTML Emails. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Best,approved,1,104,0.96%,5.92,5.92,4.3,39149513257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Email Templates,"Free Email Templates, Easy Drag &",Drop Email Creator. No HTML Coding!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Template - Nonbrand - Phrase,approved,817,36883,2.22%,7.03,5741.43,2.5,39147888697,132,4,#N/A,0.36%,16.16%,#N/A,3.03%,#N/A
enabled,Send Bulk Business Emails,Easily Create Bulk Business Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Business,approved,3,24,12.50%,5.94,17.83,2.7,39149618977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free HTML Email Service,Create & Send Email Campaigns.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Service - Nonbrand - Phrase,approved,30,3701,0.81%,3.22,96.73,4.6,39301361257,2,#N/A,#N/A,0.05%,6.67%,#N/A,#N/A,#N/A
enabled,Create & Send Mass Email,"Design, Send and Track Mass Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,top keyword: mass email - phrase,approved,110,6284,1.75%,14.17,1559.07,2.4,39294369337,24,7,#N/A,0.38%,21.82%,#N/A,29.17%,#N/A
enabled,Email Blast Promotion,Quickly Create & Send Email Blasts.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Blast Promotion,approved,0,2,0.00%,0,0,2,39149261977,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Hundreds of Emails,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email - Many,approved,3,567,0.53%,5.95,17.86,1,39148167217,1,1,#N/A,0.18%,33.33%,#N/A,100.00%,#N/A
enabled,Email Newsletter Creator,"Design, Send & Track your Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Newsletter Creator - Free,approved,4,76,5.26%,13.21,52.85,2.2,39148079377,1,#N/A,#N/A,1.32%,25.00%,#N/A,#N/A,#N/A
enabled,Drip Email Campaign,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Campaign - Drip,approved,0,4,0.00%,0,0,1,39148455937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Bulk Business Emails,No Contracts. Free Templates.,"Quick and Easy - Used by 600,000!",www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Business,approved,8,67,11.94%,6.38,51.07,2.3,39149618857,4,#N/A,#N/A,5.97%,50.00%,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Create and Send Bulk HTML Email,Campaigns & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,238,33417,0.71%,2.49,593.78,2,39148699417,19,#N/A,#N/A,0.06%,7.98%,#N/A,#N/A,#N/A
enabled,Send Bulk Business Emails,"Design, Send and Track Bulk Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Business,approved,0,7,0.00%,0,0,2.6,39149619097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Email Marketing Software,Powerful Email Marketing Software,w/ Detailed Reporting & Statistics!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing Software - Nonbrand - Phrase,approved,0,0,0.00%,0,0,0,39148313257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free HTML Email Service,Easy to Use Email Campaign Service,w/ Social Media Sharing Capability!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Service - Nonbrand - Exact,approved,41,1450,2.83%,10.56,432.87,1.1,39301444057,7,#N/A,#N/A,0.48%,17.07%,#N/A,#N/A,#N/A
enabled,Send Bulk Emails Free,"Design, Send and Track Bulk Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Cheap,approved,16,135,11.85%,6.24,99.78,2.3,39149665897,1,#N/A,1,0.74%,6.25%,6.25%,#N/A,#N/A
enabled,Free Online Sign Up Forms,Easily Capture Online Leads w/ Free,Customizable Sign Up Forms. Try Us!,VerticalResponse.com/SignUpForms,http://www.verticalresponse.com,VR Nonbranded - AU,Online Sign Up Form,approved,0,1,0.00%,0,0,1,40497342817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Sender,No Contracts. Free Templates.,"Quick and Easy - Used by 600,000!",www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Cheap,approved,3,41,7.32%,7.39,22.16,2,39149665657,1,#N/A,#N/A,2.44%,33.33%,#N/A,#N/A,#N/A
enabled,Free Bulk Email Creator,Easily Create Bulk Business Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Cheap,approved,0,24,0.00%,0,0,2.3,39149665777,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Trusted by 600k+ for Engaging Email,Newsletters Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Newsletter - Nonbrand - Phrase,approved,25,5190,0.48%,2.72,67.99,2.4,39149184577,1,#N/A,#N/A,0.02%,4.00%,#N/A,#N/A,#N/A
enabled,Email Marketing Templates,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Marketing Template - Free,approved,4,48,8.33%,4,16.01,2.2,39148765657,2,#N/A,#N/A,4.17%,50.00%,#N/A,#N/A,#N/A
enabled,Email Marketing Blasts $0,Email Marketing Gets Results. Drag,& Drop Email Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Marketing Blast,approved,0,1,0.00%,0,0,2,39149265337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Software,Trusted by 600k+ for Reliable Email,Marketing Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Free,approved,28,433,6.47%,4.92,137.79,3.5,39149573977,6,2,#N/A,1.39%,21.43%,#N/A,33.33%,#N/A
enabled,Free Mass Email Marketing,Email Marketing Gets Results. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Email Marketing - Mass - Free,approved,0,0,0.00%,0,0,0,39148869577,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Trusted by 600k+ for Engaging Email,Newsletters Since 2001. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,233,33401,0.70%,2.37,551.7,2,39148699777,14,2,#N/A,0.04%,6.01%,#N/A,14.29%,#N/A
enabled,Send & Track Newsletters,"Design, Send & Track your Mass",HTML Email & Newsletters. Use Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,237,33350,0.71%,2.61,618.81,2,39148699657,15,#N/A,#N/A,0.04%,6.33%,#N/A,#N/A,#N/A
enabled,Email Marketing Blasts $0,Quickly Create & Send Email Blasts.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Marketing Blast,approved,0,0,0.00%,0,0,0,39148533337,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free eNewsletter Company,Free eNewsletter Campaign Software,w/ Helpful Reporting & Statistics!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,eNewsletter Company,approved,2,61,3.28%,9.93,19.86,1.9,39294343057,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Mass Email Sender,Easy Drag & Drop Mass Email,Creator. Free Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Sender - Mass,approved,1,10,10.00%,11.26,11.26,1,39301438417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Free Bulk Email Service,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Service - Bulk,approved,19,254,7.48%,14.54,276.23,1.2,39301428217,3,#N/A,#N/A,1.18%,15.79%,#N/A,#N/A,#N/A
enabled,Free {KeyWord:Email Marketing},"Create, Send & Track Mass Email",Campaigns & Newsletters. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing - Consumer,approved,0,76,0.00%,0,0,1.7,39147782257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Try Email Marketing Free,Quickly Create Professional Emails.,Drag & Drop. No Expertise Needed!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Marketing - Cheap,approved,7,270,2.59%,18.21,127.47,4.1,39147783697,4,#N/A,#N/A,1.48%,57.14%,#N/A,#N/A,#N/A
enabled,Send Mass Email Campaigns,Create Emails w/ Ease. Drag & Drop,Creator. Looks Great On Any Device!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Email Campaign - Mass,approved,0,1,0.00%,0,0,1,39148174417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Mass Email Blasts $0,No Contracts. Free Drag & Drop,Email Blast Templates. Try Us!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - CA,Email Blast - Mass,approved,0,0,0.00%,0,0,0,39149279497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Drag & Drop Email Creator,Free HTML Email Campaign Creator.,Drag & Drop Templates. It's Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Creator - HTML - Exact,approved,0,4,0.00%,0,0,6.5,39147912097,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Monthly Email Newsletter,"Design, Send & Track Monthly Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - US,Email Newsletter - Time - Monthly,approved,14,171,8.19%,6.65,93.07,2.1,39147906457,3,#N/A,#N/A,1.75%,21.43%,#N/A,#N/A,#N/A
enabled,Send & Track Newsletters,Create Impressive Email Newsletters,in Minutes. Free Template Designs!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,231,33284,0.69%,2.56,590.25,2,39148699177,19,2,1,0.06%,8.23%,0.43%,10.53%,50.00%
enabled,Send & Track Newsletters,"Design, Send & Track your Email",Newsletters. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - ROW,Newsletter - Nonbrand - Phrase,approved,235,33249,0.71%,2.44,574.36,2,39148699537,13,#N/A,#N/A,0.04%,5.53%,#N/A,#N/A,#N/A
enabled,Create & Send Bulk Emails,Send Bulk Email Blast to your List,all at once. Easy to Use and Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Free,approved,1,30,3.33%,4.01,4.01,3.9,39149573617,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Create & Send Bulk Emails,"Design, Send and Track Bulk Emails.",Easy to Use. Try it Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - UK,Email - Bulk - Free,approved,0,22,0.00%,0,0,3.4,39149573737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
enabled,Send Newsletters Free,Newsletter Marketing Works. See,How it Increases ROI - Risk Free!,www.VerticalResponse.com,http://www.verticalresponse.com,VR Nonbranded - AU,Newsletter Marketing - Free,approved,0,0,0.00%,0,0,0,39301350457,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
